year,rows,stress
1999,9,1.6713576912763732
2000,34,-0.9397146900807115
2001,35,-0.7028698972323623
2002,67,1.2026153465181668
2003,70,-0.08127075585672074
2004,72,0.1471436534081969
2005,108,2.975587703463063
2006,72,-0.7461700738396716
2007,72,1.5719730261721487
2008,72,0.2660014426629889
2009,70,-0.363157296634849
2010,72,0.3313871004045704
2011,72,0.057930943209873596
2012,72,1.5057165827693324
2013,68,-0.6145279726952737
2014,72,-1.539228350322081
2015,72,-1.975713259040114
2016,71,-0.43202609702137007
2017,72,-0.4201125707929992
2018,72,-0.5627974125045331
2019,72,-1.901897217715101
2020,63,0.3517310102163727
2021,72,-0.1815262066221802
2022,72,-0.7037406828935971
2023,72,-0.3207279056887746
2024,72,-0.14839798492077205
2025,72,0.7449157423270966
