stress_group,n_rate_kg_ha,yield_mean,yield_se,n
Lower,0.0,3861.7709923664124,79.56113074198048,131
Lower,22.0,2555.5454545454545,121.66409522170338,11
Lower,34.0,5797.916666666667,451.2978331625045,12
Lower,45.0,3381.5,132.27138653907616,12
Lower,67.0,5774.434782608696,420.55852109822706,23
Lower,90.0,4792.545454545455,241.6192483164882,11
Lower,101.0,8690.916666666666,757.1571076945149,12
Lower,112.0,5076.583333333333,365.62881613306786,12
Lower,134.0,6804.565217391304,641.6954655121399,23
Lower,157.0,5321.833333333333,474.04217357027676,12
Lower,168.0,9524.416666666666,986.7568508513231,12
Lower,179.0,5125.0,520.1807815121061,12
Lower,202.0,9461.181818181818,1085.1858979261808,11
Lower,246.0,9365.0,901.7690862124765,12
Lower,291.0,9038.0,1138.2156609839328,11
Middle,0.0,3853.507575757576,84.64975567210591,132
Middle,22.0,5146.5,85.12980285031402,4
Middle,34.0,5693.35,362.84104302021836,20
Middle,45.0,6341.25,184.2219562556718,4
Middle,67.0,7710.75,300.09734682676515,24
Middle,90.0,8064.0,88.43736012945358,4
Middle,101.0,9215.2,384.257120606557,20
Middle,112.0,8406.0,205.25471979957,4
Middle,134.0,9956.291666666666,380.76593993091535,24
Middle,157.0,8127.5,103.17985914573316,4
Middle,168.0,10871.3,474.8242672156111,20
Middle,179.0,7900.0,142.5312831159064,4
Middle,202.0,10944.6,499.95510535289174,20
Middle,246.0,11152.3,446.1364618943165,20
Middle,291.0,10917.0,500.2838299668656,20
Higher,0.0,3670.731707317073,238.86311781883455,41
Higher,17.0,2572.75,145.21270318628004,4
Higher,22.0,3163.6666666666665,191.4361327683281,12
Higher,34.0,5351.37037037037,360.90852890177075,27
Higher,45.0,4088.0,267.39486747414423,12
Higher,50.0,2509.0,88.08613209050938,4
Higher,67.0,5530.125,322.52473804444986,40
Higher,84.0,2589.75,135.45871142159888,4
Higher,90.0,5242.25,692.5098743962888,12
Higher,101.0,6730.689655172414,438.43008133041,29
Higher,112.0,5131.666666666667,562.7073669395851,12
Higher,123.0,2598.25,37.0301116210398,4
Higher,134.0,6684.864864864865,376.71075673184697,37
Higher,146.0,2510.25,89.72771311027603,4
Higher,157.0,4738.333333333333,512.1679461373047,12
Higher,168.0,7634.72,429.29640312182136,25
Higher,179.0,4611.083333333333,477.6075550506023,12
Higher,202.0,7642.56,546.3597809746491,25
Higher,246.0,7675.541666666667,517.4301779515298,24
Higher,291.0,7398.583333333333,523.2306551977314,24
