irrigated_binary,stress_group,n_rate_kg_ha,yield_mean,yield_se,n
0,Lower,0.0,3785.5748031496064,65.33495701295475,127
0,Lower,22.0,3246.4666666666667,319.2759795398193,15
0,Lower,34.0,6800.25,198.16843635318583,4
0,Lower,45.0,4121.4375,347.5932005562201,16
0,Lower,67.0,6009.9473684210525,476.14878303823957,19
0,Lower,90.0,5664.933333333333,424.87751138715214,15
0,Lower,101.0,11595.75,121.50265772127511,4
0,Lower,112.0,5908.9375,462.81270931798105,16
0,Lower,134.0,7330.0,694.4245554110934,20
0,Lower,157.0,6023.25,471.7236081647812,16
0,Lower,168.0,13265.25,276.79034635140965,4
0,Lower,179.0,5818.75,496.0816423063177,16
0,Lower,202.0,13330.0,214.64505584802086,4
0,Lower,246.0,12921.25,181.5853220022661,4
0,Lower,291.0,13046.5,178.86424088304142,4
0,Higher,0.0,3308.6666666666665,277.38234743160325,36
0,Higher,17.0,2572.75,145.21270318628004,4
0,Higher,22.0,3163.6666666666665,191.4361327683281,12
0,Higher,34.0,5216.583333333333,428.6019525807584,24
0,Higher,45.0,4088.0,267.39486747414423,12
0,Higher,50.0,2509.0,88.08613209050938,4
0,Higher,67.0,5735.388888888889,347.7023820347843,36
0,Higher,84.0,2589.75,135.45871142159888,4
0,Higher,90.0,5242.25,692.5098743962888,12
0,Higher,101.0,7365.833333333333,520.2727185725014,24
0,Higher,112.0,5131.666666666667,562.7073669395851,12
0,Higher,123.0,2598.25,37.0301116210398,4
0,Higher,134.0,7399.90625,430.27141509040683,32
0,Higher,146.0,2510.25,89.72771311027603,4
0,Higher,157.0,4738.333333333333,512.1679461373047,12
0,Higher,168.0,9125.2,383.8979209167595,20
0,Higher,179.0,4611.083333333333,477.6075550506023,12
0,Higher,202.0,9275.6,489.215625691834,20
0,Higher,246.0,9289.15,539.23146711925,20
0,Higher,291.0,9018.6,556.9594920543806,20
1,Lower,0.0,4249.952755905511,80.29179681451899,127
1,Lower,22.0,3858.875,287.91150079784353,16
1,Lower,34.0,9394.75,322.6371478405217,4
1,Lower,45.0,5139.625,330.0712028613422,16
1,Lower,67.0,6964.2,641.3685064396532,20
1,Lower,90.0,6381.8125,489.2713393298072,16
1,Lower,101.0,12741.75,340.6636598856219,4
1,Lower,112.0,6988.8125,544.5670391753893,16
1,Lower,134.0,8458.0,731.4879572343945,20
1,Lower,157.0,7493.0,656.8753052647562,16
1,Lower,168.0,12890.0,82.10866783314252,4
1,Lower,179.0,7709.5,665.9695188219954,16
1,Lower,202.0,13224.0,69.6814178960216,4
1,Lower,246.0,13535.75,71.23596352966668,4
1,Lower,291.0,13278.5,89.80395314238677,4
1,Higher,0.0,4629.625,459.10156334269834,32
1,Higher,17.0,5152.75,72.20038665639771,4
1,Higher,22.0,3423.4166666666665,76.91578022405253,12
1,Higher,34.0,7335.315789473684,638.476989252442,19
1,Higher,45.0,4608.833333333333,246.1013844214238,12
1,Higher,50.0,5062.25,104.34587917114887,4
1,Higher,67.0,7203.5,496.4779824894294,32
1,Higher,84.0,5021.0,141.05613539769666,4
1,Higher,90.0,5629.583333333333,526.6355829674585,12
1,Higher,101.0,9665.444444444445,691.9045762450944,18
1,Higher,112.0,6021.0,548.2759203617143,12
1,Higher,123.0,5048.75,194.1392863384431,4
1,Higher,134.0,8852.346153846154,593.1689315540276,26
1,Higher,146.0,5223.5,45.26311964502668,4
1,Higher,157.0,6365.25,707.4584164350924,12
1,Higher,168.0,12130.642857142857,372.04651734360306,14
1,Higher,179.0,6365.5,671.9199932080659,12
1,Higher,202.0,12403.333333333334,322.68009613926364,15
1,Higher,246.0,12929.4,530.7957619954975,15
1,Higher,291.0,13380.9375,519.9021900700009,16
