model,outer_year,selected_alpha,n_train,n_test
management_only,1989,10.0,806,24
management_plus_landsat,1989,10.0,806,24
management_only,1990,10.0,806,24
management_plus_landsat,1990,10.0,806,24
management_only,1991,1.0,810,20
management_plus_landsat,1991,10.0,810,20
management_only,1992,10.0,806,24
management_plus_landsat,1992,10.0,806,24
management_only,1993,10.0,806,24
management_plus_landsat,1993,10.0,806,24
management_only,1994,0.1,807,23
management_plus_landsat,1994,10.0,807,23
management_only,1995,1.0,807,23
management_plus_landsat,1995,10.0,807,23
management_only,1996,1.0,807,23
management_plus_landsat,1996,10.0,807,23
management_only,1997,10.0,807,23
management_plus_landsat,1997,10.0,807,23
management_only,1998,10.0,807,23
management_plus_landsat,1998,10.0,807,23
management_only,1999,10.0,807,23
management_plus_landsat,1999,10.0,807,23
management_only,2000,10.0,807,23
management_plus_landsat,2000,10.0,807,23
management_only,2001,10.0,807,23
management_plus_landsat,2001,10.0,807,23
management_only,2002,10.0,806,24
management_plus_landsat,2002,10.0,806,24
management_only,2003,10.0,806,24
management_plus_landsat,2003,10.0,806,24
management_only,2004,10.0,806,24
management_plus_landsat,2004,10.0,806,24
management_only,2005,10.0,827,3
management_plus_landsat,2005,10.0,827,3
management_only,2006,1.0,806,24
management_plus_landsat,2006,10.0,806,24
management_only,2007,1.0,806,24
management_plus_landsat,2007,10.0,806,24
management_only,2008,1.0,806,24
management_plus_landsat,2008,10.0,806,24
management_only,2009,10.0,806,24
management_plus_landsat,2009,10.0,806,24
management_only,2010,10.0,828,2
management_plus_landsat,2010,10.0,828,2
management_only,2011,0.1,806,24
management_plus_landsat,2011,10.0,806,24
management_only,2012,1.0,806,24
management_plus_landsat,2012,10.0,806,24
management_only,2013,1.0,806,24
management_plus_landsat,2013,10.0,806,24
management_only,2014,1.0,806,24
management_plus_landsat,2014,10.0,806,24
management_only,2015,10.0,806,24
management_plus_landsat,2015,10.0,806,24
management_only,2016,1.0,809,21
management_plus_landsat,2016,10.0,809,21
management_only,2017,10.0,806,24
management_plus_landsat,2017,100.0,806,24
management_only,2018,0.1,806,24
management_plus_landsat,2018,100.0,806,24
management_only,2019,0.1,806,24
management_plus_landsat,2019,100.0,806,24
management_only,2020,0.1,806,24
management_plus_landsat,2020,10.0,806,24
management_only,2021,0.1,806,24
management_plus_landsat,2021,100.0,806,24
management_only,2022,1.0,806,24
management_plus_landsat,2022,100.0,806,24
management_only,2023,1.0,806,24
management_plus_landsat,2023,10.0,806,24
management_only,2024,10.0,806,24
management_plus_landsat,2024,10.0,806,24
management_only,2025,10.0,806,24
management_plus_landsat,2025,10.0,806,24
